hsn_code,hsn_code_4_digits,details,gst_rate
1104.29.00,1104,"Other worked Other worked grains, of other cereals (hulled, pearled, sliced, kibbled)",5
1104.30.00,1104,"Germ of cereals (whole, rolled, flaked or ground",5
1105.00.00,1105,"Flour, of potatoes",0
1105.00.00,1105,"Meal, powder, flakes, granules and pellets of potatoes",5
1106.00.00,1106,"Flour, of the dried leguminous vegetables of heading 0713 (pulses) of sago or of roots of tubers of heading 0714 or of the products of Chapter 8 i.e. of tamarind of singoda, mango
flour,etc.,",0
1106.00.00,1106,"Meal and powder of the dried leguminous vegetables of heading 0713 (pulses) of sago or of roots of tubers of heading 0714 or of the products of Chapter 8 i.e. of tamarind of
singoda, etc",5
1106.30.00,1106,"Flour, of fruit, nuts, peel of citrus fruit or melons",0
1106.30.00,1106,"Meal and powder of fruit, nuts, peel of citrus fruit or melons",5
1107.00.00,1107,"Malt, whether or not roasted",18
1107.10.00,1107,Malt (not roasted),18
1107.20.00,1107,Malt (roasted),18
1108.00.00,1108,"Starches, inulin",12
1108.11.00,1108,Wheat starch,12
1108.12.00,1108,Maize (corn) starch,12
1108.13.00,1108,Potato starch,12
1108.14.00,1108,Cassava (manioc) starch,12
1108.19.00,1108,Starch; inulin - Other,12
1108.19.10,1108,Starch; inulin - Other ; Sago,12
1108.19.90,1108,Starch; inulin - Other ; Other,12
1108.20.00,1108,Inulin,12
1109.00.00,1109,"Wheat gluten, whether or not dried",5
1100.00.00,1100,"Flour [1101, 1102, 1105, 1106] Aata, amida, besan etc. [other than those put up in unit container and bearing a registered brand
name]",0
1201.00.00,1201,"Soybeans, whether or not broken: of seed quality",0
1201.00.00,1201,"Soybeans, whether or not broken: Other than of  seed quality",5
1202.00.00,1202,"Ground-nuts, not roasted or otherwise
cooked, whether or not shelled or broken - of seed quality",0
1202.00.00,1202,"Ground-nuts, not roasted or otherwise
cooked, whether or not shelled or broken - other than of seed quality",5
1202.10.11,1202,Ground-nuts (in shell; not roasted or otherwise cooked) - H.P.S. - of seed quality,0
1202.10.19,1202,"Ground-nuts (in shell; not roasted or
otherwise cooked) - H.P.S. - other than of seed quality",5
1202.10.10,1202,Groundnut or Peanut oil seeds,0
1202.20.10,1202,"Ground-nuts (shelled; not roasted or otherwise cooked): Kernals, H.P.S.",0
1202.20.10,1202,"Ground-nuts (shelled; not roasted or otherwise cooked): Kernals, H.P.S.: other",0
1203.00.00,1203,Copra,5
1204.00.00,1204,"Linseed (Flaxseed), whether or not broken: of seed quality",0
1204.00.00,1204,"Linseed (Flaxseed), whether or not broken: other than of seed quality",5
1204.00.10,1204,Lin oil seeds,0
1204.30.10,1204,Castor oil seeds,0
1205.00.00,1205,"Rape or colza seeds, whether or not broken : of seed quality",0
1205.00.00,1205,"Rape or colza seeds, whether or not broken: other than of seed quality",5
1206.00.00,1206,"Sunflower seeds, whether or not broken : of seed quality",0
1206.00.00,1206,"Sunflower seeds, whether or not broken : other than of seed quality",5
1206.00.10,1206,Sunflower oil seeds,0
1207.00.00,1207,"Other oil seeds and oleginous fruits (i.e. Plam nuts and kernels, cotton seeds, Castor oil seeds, Sesamum seeds, Mustard seeds, Saffower (Carthamus tinctorius) seeds, Melon seeds, Popply seeds, Ajams, Mango kernel, Niger seed, Kokam) whether or not broken",0
1207.00.00,1207,"Other oil seeds and oleginous fruits (i.e. Plam nuts and kernels, cotton seeds, Castor oil seeds, Sesamum seeds, Mustard seeds, Saffower (Carthamus tinctorius) seeds, Melon seeds, Popply seeds, Ajams, Mango kernel, Niger seed, Kokam) whether or not broken",5
1207.10.10,1207,Palm nuts and kernels (whether or not broken): of seed quality,0
1207.10.90,1207,Palm nuts and kernels (whether or not broken): other than of seed quality,5
1207.20.10,1207,Cotton seeds: of seed quality,0
1207.20.90,1207,Cotton seeds: other than of seed quality,5
1207.30.10,1207,Castor seeds: of seed quality,0
1207.30.90,1207,Castor seeds: other than of seed quality,5
1207.40.10,1207,Sesamum seeds : Of seed quality,0
1207.40.90,1207,Sesamum seeds : Other than of seed quality,5
1207.50.10,1207,Mustard seeds : of seed quality,0
1207.50.90,1207,Mustard seeds : other than of seed quality,5
1207.60.10,1207,Safflower (Carthamus tinctorius) seeds : of seed qulaity,0
1207.60.90,1207,Safflower (Carthamus tinctorius) seeds: other than of seed qulaity,5
1207.91.10,1207,Poppy seeds: of seed quality,0
1207.91.90,1207,Poppy seeds: other than of seed quality,5
1207.92.10,1207,"Shea nuts (karite nuts, whether or not broken) : of seed qulaity",0
1207.92.90,1207,"Shea nuts (karite nuts, whether or not broken) : other than of seed qulaity",5
1207.99.10,1207,Ajams seed: of seed quality,0
1207.99.10,1207,Ajams seeds: other than of seed quality,5
1207.99.20,1207,Mango Kernel: of seed quality,0
1207.99.20,1207,Mango Kernel: other than of seed quality,5
1207.99.30,1207,Nigar seed: of seed quality,0
1207.99.30,1207,Nigar seed: other than of seed quality,5
1207.99.40,1207,Kokam : of seed qulaity,0
1207.99.40,1207,Kokam : other than of seed qulaity,5
1208.00.00,1208,"Flour & meal of oil seeds or oleaginous fruits, other than thaose of mustard",5
1208.10.00,1208,Flours and meal of soya beans,5
1208.90.00,1208,"Flour & meal of oil seeds or oleaginous fruits, other than thaose of mustard : other",5
1209.00.00,1209,"Seeds, fruit and spores, of a kind used for sowing",0
1209.10.00,1209,Sugar beet seed (beet seed),0
1209.21.00,1209,Lucerne (alfalfa) seed,0
1209.22.00,1209,Clover (trifolium spp.) Seed,0
1209.23.00,1209,Fescue seed,0
1209.24.00,1209,Kentucky blue grass (poa pratensis l.) Seed,0
1209.25.00,1209,Rye grass seed,0
1209.26.00,1209,Timothy grass seed,0
1209.29.00,1209,Other seeds of forage plants,0
1209.29.10,1209,Australian lupin seed,0
1209.30.00,1209,Seeds of herbaceous plants cultivated principally for their flowers,0
1209.91.00,1209,Vegetable seeds of a kind used for sowing,0
1209.91.10,1209,Vegetable seeds : of Cabbage,0
1209.91.20,1209,Vegetable seeds : of Cauliflower,0
1209.91.30,1209,Vegetable seeds : of Onion,0
1209.91.40,1209,Vegetable seeds : of Pea,0
1209.91.50,1209,Vegetable seeds : of Radish,0
1209.91.60,1209,Vegetable seeds : of Tomato,0
1209.99.00,1209,Vegetable seeds: Other: fruit and spores of a kind used for sowing,0
1210.00.00,1210,"Hop cones, fresh",0
1210.10.00,1210,"Hop cones, dried; whether or not ground,powdered or in the form of pellets;
lupulin",5
1211.00.00,1211,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purpose, fresh or chilled",0
1211.00.00,1211,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purpose, frozen or dried, whether or not cut, crushed or powdered",5
1211.10.00,1211,"Liquorice roots , fresh",0
1211.10.00,1211,"Liquorice roots, frozen or dried, whether or not cut, crushed or powdered",5
1211.20.00,1211,"Ginseng roots, fresh",0
1211.20.00,1211,"Ginseng roots , frozen or dried, whether or not cut, crushed or powdered",5
1211.90.11,1211,"Ambrette seeds, fresh",0
1211.90.11,1211,"Ambrette seeds -frozen or dried, whether or not cut, crushed or powdered",5
1211.90.12,1211,"Nuzvomica seeds, fresh",0
1211.90.12,1211,"Nuzvomica seeds -frozen or dried, whether or not cut, crushed or powdered",5
1211.90.13,1211,"Psyllium (isobgul) seeds, fresh",0
1211.90.13,1211,"Psyllium (isobgul) seeds -frozen or dried, whether or not cut, crushed or powdered",5
1211.90.14,1211,"Neem seeds, fresh",0
1211.90.14,1211,"Neem seeds -frozen or dried, whether or not cut, crushed or powdered",5
1211.90.15,1211,"Jojoba seeds, fresh",0
1211.90.15,1211,"Jojoba seeds -frozen or dried, whether or not cut, crushed or powdered",5
1211.90.21,1211,"Belladona leaves, fresh",0
1211.90.21,1211,"Belladona leaves -frozen or dried, whether or not cut, crushed or powdered",5
1211.90.22,1211,"Senna leaves and pods, fresh",0
1211.90.22,1211,"Senna leaves and pods -frozen or dried, whether or not cut, crushed or powdered",5
1211.90.23,1211,"Neem leaves and pods, fresh",0
1211.90.23,1211,"Neem leaves and pods -frozen or dried, whether or not cut, crushed or powdered",5
1211.90.24,1211,Gymnema Powder,5
1211.90.25,1211,Cubeb Powder,5
1211.90.26,1211,"Pyrethrum, fresh",0
1211.90.26,1211,"Pyrethrum -frozen or dried, whether or not cut, crushed or powdered",5
1212.00.00,1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh or chilled",0
1212.00.00,1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sativum) of a kind used pr",5
1213.00.00,1213,"Cereal straw & husks unprepared, whether or
not chopped, ground, preseed or in the form of pellets.",0
1214.00.00,1214,"Swedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and simalr forage products whether or not in the form of pellets.",0
1214.10.00,1214,Lucerne (alfalfa) meal and pellets,0
1214.90.00,1214,Anapatta,0
1214.90.00,1214,Hay and fodder,0
1214.90.00,1214,"Swedes, mangolds, fodder roots, hay, clover, other forage products",0
1301.00.00,1301,Lac and Shellac,0
1301.00.00,1301,"Natural gums, resins, gum resins and
oleoresins (for example balsams), other than lac and shellac.",5
1301.10.00,1301,Lac,0
1301.10.10,1301,Shellac,0
1301.10.20,1301,Seed Lac,0
1301.10.30,1301,Stick lac,0
1301.10.40,1301,Dewaxed and decolourised lac,0
1301.10.50,1301,Bleached lac,0
1301.10.60,1301,Gasket lac,0
1301.10.70,1301,Buttton lac,0
1301.10.80,1301,Garnet lac,0
1301.20.00,1301,Gum arabic,5
1301.90.00,1301,"Other natural gum, resins, gum-resins, balsams",5
1301.90.11,1301,Asian gum,5
1301.90.12,1301,African gum,5
1301.90.13,1301,Asafoetida including compounded asafoetida,5
1301.90.21,1301,Resins: Copal,5
1301.90.22,1301,Resins: Dammar batu,5
1301.90.29,1301,Resins: Other,5
1301.90.31,1301,Gum resins:Myrrh,5
1301.90.32,1301,Gum resins: Oilbanum or frankincense,5
1301.90.33,1301,Gum resins: Mastic gum,5
1301.90.34,1301,Gum resins: Xanthium gum,5
1301.90.39,1301,Gum resins: other,5
1301.90.41,1301,Oleoresins: of seeds,5
1301.90.42,1301,Oleoresins: of fruit,5
1301.90.43,1301,Oleoresins: of leaves,5
1301.90.44,1301,Oleoresins: of spices,5
1302.00.00,1302,Guar meal or guar gum refined split,5
1302.00.00,1302,"Vegetable saps and extracts; pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products; other than Guar meal or guar gum refined split",18
1302.11.00,1302,Vegetable saps and extract: Opium,18
1302.12.00,1302,Vegetable Saps and extracts of liquorice,18
1302.13.00,1302,Vegetable Saps and extracts of hops,18
1302.14.00,1302,Saps and extracts of pyrethrum or of the roots containing rotenone,18
1302.19.00,1302,"Vegetable saps and extracts (Ganja, Bhang): other",18
1302.19.11,1302,"Extracts, of belladonna",18
1302.19.12,1302,"Extracts, of cascara sagrada",18
1302.19.13,1302,"Extracts, of nuxvomica",18
1302.19.14,1302,"Extracts, of ginseng (including powder)",18
1302.19.15,1302,"Extracts, of agarose",18
1302.19.16,1302,"Extracts, of neem",18
1302.19.17,1302,"Extracts, of gymnema",18
1302.19.18,1302,"Extracts, of garcinia or gambodge",18
1302.19.19,1302,"Extracts, other",18
1302.19.20,1302,"Extracts, Cashew shell liquid (CNSL), crude",18
1302.19.30,1302,"Extracts, Purified and distilled CNSL (Cardanol)",18
1302.20.00,1302,"Pectic substances, pectinates and pectates",18
1302.31.00,1302,"Mucilages and thickeners, whether or not modifed, derived from vetable products: Agar-
agar",18
1302.32.10,1302,"Mucilages and thickeners whetehr or not modified, derived from locust bean, locust bean seeds or guar seeds: Guar meal",5
1302.32.20,1302,"Mucilages and thickeners whetehr or not modified, derived from locust bean, locust bean seeds or guar seeds: Guargum refined
split",5
1302.32.30,1302,"Mucilages and thickeners whetehr or not modified, derived from locust bean, locust bean seeds or guar seeds: Guargum treated
and pulverised",5
1302.32.40,1302,"Mucilages and thickeners whetehr or not modified, derived from locust bean, locust bean seeds or guar seeds: Kappa carrageenan",5
1302.32.90,1302,"Mucilages and thickeners whetehr or not
modified, derived from locust bean, locust bean seeds or guar seeds: other",5
1401.00.00,1401,"Vegetable materials of kind used primarily for plaiting (for esample, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark).",5
1401.10.00,1401,Bamboos,5
1401.20.00,1401,Rattans,5
1401.90.00,1401,"Other vegetable plaiting materials (reed, rushes, osier, raffia, straw etc)",5
1401.90.10,1401,Canes,5
1401.90.90,1401,Reed,5
1402.00.00,1402,XXXX,0
1403.00.00,1403,XXXX,0
1404.00.00,1404,"Vegetable products not elsewhere specified or included such as cotton linters. Cotton linters, Soap nuts, Hard seeds, pips, hulls and nuts, of kind used primarily for carving, coconut shell, unworked, Rudraksha seeds; other than Betel Leaves and Indian Ka",5
1404.10.00,1404,Raw vegetable materials of a kind used in dyeing or tanning,5
1404.20.00,1404,Cotton linters,5
1404.90.00,1404,Other vegetable products,5
1404.90.10,1404,Beedi leaves,5
1404.90.30,1404,"Hard seeds, pips, hulls and nuts, of a kind used primarily for carving",5
1404.90.40,1404,Betel Leaves,0
1404.90.50,1404,Indian Katha,18
1404.90.60,1404,Coconut shell unworked,5
1404.90.70,1404,Rudraksha seeds,5
1404.90.90,1404,Leaf plates and leaf cups-pressed or stitched and loose and unstiched vistarakulu,5
1501.00.00,1501,"Pig Fats (including lard) and poultry fat, other than that of heading 0209 or 1503",12
1502.00.00,1502,"Fats of bovine animals, sheep or goats other than those of heading 1503",12
1502.00.10,1502,"Mutton tallow: Fats of bovine animals, sheep or goats other than those of heading 1503",12
1502.00.20,1502,"Fats, unrendered (excluding Mutton tallow): Fats of bovine animals, sheep or goats other
than those of heading 1503",12
1502.00.10,1502,"Rendered or solvent extraton fats: Fats of bovine animals, sheep or goats other than
those of heading 1503",12
1502.00.10,1502,"Other: Fats of bovine animals, sheep or goats other than those of heading 1503",12
1503.00.00,1503,"Lard stearin, lard oil, oleo stearin, oleo-oil and
tallow oil, not emulsified or mixed or otherwise prepared.",12
1504.00.00,1504,"Fats & oils and their fractions, of fish or
marine mammals, whether or not refined, but not chemically modified",12
1504.10.00,1504,Fish liver oils and their fractions,12
1504.10.10,1504,Cod liver oil : Fish liver oils and their fractions,12
1504.10.91,1504,Squid liver oil : Fish liver oils and their fractions: Other,12
1504.20.00,1504,"Fats and oils and their fractions of fish , other than liver oils",12
1504.20.10,1504,"Fish body oil: Fats and oils and their fractions of fish , other than liver oils",12
1504.20.20,1504,"Fish lipid oil: Fats and oils and their fractions of fish , other than liver oils",12
1504.20.30,1504,"Sperm oil: Fats and oils and their fractions of fish , other than liver oils",12
1504.20.00,1504,Fats and oils and their fractions of fish (other than liver oils),12
1504.30.00,1504,Fats and oils and their fractions of marine mammals,12
1505.00.00,1505,Wool grease & fatty substances derived therefrom (including lanolin),12
1505.10.00,1505,Wool alcohol (including lanolin alcohol),12
1505.20.00,1505,"Wool grease, crude",12
1505.90.00,1505,"Other, wool grease and fatty substances derived therefrom",12
1506.00.00,1506,"Other animal fats & oil and their fraction whether or not refined, but not chemically
modified.",12
1506.00.10,1506,"Neats Foot oil and fats from bone or waste: Other animal fats & oil and their fraction whether or not refined, but not chemically
modified.",12
1506.00.90,1506,"Other: Other animal fats & oil and their
fraction whether or not refined, but not chemically modified.",12
1507.00.00,1507,"Soya-bean oil and its fraction whether or not refined, but not chemically modified.",5
1507.10.00,1507,Soya bean oil (crude oil),5
1507.90.10,1507,Soya bean oil and its fractions (other than crude):,5
1507.90.10,1507,Soyabean oil (Edible oil),5
1507.90.90,1507,Soyabean oil (Vegetable oil),5
1508.00.00,1508,"Ground-nut oil and its fraction whether or not refined, but not chemically modified.",5
1508.10.00,1508,Ground-nut oil (crude oil),5
1508.90.00,1508,Ground-nut oil and its fractions (other than crude oil),5
1508.90.91,1508,Groundnut oil (Edible oil),5
1508.90.99,1508,Groundnut oil (Vegetable oil),5
1509.00.00,1509,"Olive oil & its fractions, whether or not refined, but not chemically modified",5
1509.10.00,1509,Olive oil (crude oil),5
1509.90.00,1509,Olive oil and its fractions (other than virgin),5
1509.90.10,1509,Olive oil (Edible oil),5
1509.90.90,1509,Olive oil (Vegetable oil),5
1510.00.00,1510,"Other oils and thir fractions obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of
heading 1509",5
1511.00.00,1511,"Palm oil & its fractions, whether or not refined, but not chemically modified",5
1511.10.00,1511,Palm oil (crude oil),5
1511.90.00,1511,Palm oil and its fractions (other than crude oil),5
1511.90.10,1511,Refined bleached deodorised palm oil,5
1511.90.20,1511,Refined bleached deodorised palmolein,5
1511.90.90,1511,Palmoil (Vegetable oil),5
1512.00.00,1512,"Sunflower-seed, safflower or cottonseed oil, and fractions thereof, whether or not refined
but not chemically modified",5
1512.11.00,1512,"Sunflower-seed, safflower oil (crude oil)",5
1512.19.00,1512,"Sunflower seed oil, safflower oil and their fractions (other than crude oil)",5
1512.19.10,1512,Sunflower oil (Edible oil),5
1512.19.20,1512,Sunflower oil (Vegetable oil),5
1512.19.30,1512,Saffola oil (Edible oil),5
1512.19.40,1512,Suffola oil (Vegetable oil),5
1512.21.00,1512,Cotton-seed oil (crude oil),5
1512.29.00,1512,Cotton seed oil (other than crude oil) and its fractions,5
1512.29.10,1512,Cottonseed oil (Edible oil),5
1512.29.90,1512,Cottonseed oil (Vegetable oil),5
1513.00.00,1513,"Coconut (copra) , palm kernel or babassu oil and fractions thereof, whether or not refined,
but not chemically",5
1513.11.00,1513,Coconut (copra) oil (crude oil),5
1513.19.00,1513,Other coconut oil and its fractions,5
1513.21.10,1513,Palm kernel oil (Edible oil),5
1513.21.20,1513,"Palm kernel oil, babassu oil (crude oil)",5
1513.29.20,1513,Babassu oil (Edible),5
1513.29.30,1513,"Palm kernel oil, babassu oil and its fractions (other than crude oil)",5
1514.00.00,1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not
chemically modified",5
1514.10.00,1514,"Rape or colza oil, mustard oil (crude oil)",5
1514.19.10,1514,Refined colza oil,5
1514.19.20,1514,Refined rapeseed iuk,5
1514.90.00,1514,"Rape or colza oil, mustard oil and their fractions (not crude oil)",5
1514.99.20,1514,Refined Mustard oil,5
1515.00.00,1515,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified",5
1515.11.00,1515,Linseed oil (crude oil),5
1515.19.00,1515,Linseed oil and its fractions (other than crude oil),5
1515.19.10,1515,Linseed oil (Edible oil),5
1515.19.90,1515,Linseed oil (Vegetable oil),5
1515.21.00,1515,Maize oil (crude oil),5
1515.29.00,1515,Maize oil and its fractions (other than crude oil),5
1515.29.10,1515,Maize (corn) oil (Edible oil),5
1515.29.90,1515,Maize (corn) oil  (Vegetable oil),5
1515.30.00,1515,Castor oil and its fractions,5
1515.30.10,1515,Castor  oil (Edible oil),5
1515.30.90,1515,Castor oil  (Vegetable oil),5
1515.40.00,1515,Tung oil and its fractions,5
1515.50.00,1515,Sesame oil and its fractions,5
1515.50.91,1515,Sesame oil (Edible oil),5
1515.50.99,1515,Sesame oil  (Vegetable oil),5
1515.60.00,1515,Jojoba oil and its fractions,5
1515.90.00,1515,Other fixed vegetable fats and oils and their fractions,5
1515.90.10,1515,"Fixed vegetable oils , namely the following: chlu moongra oil, mawra oil, kokam oil,
tobacco seed oil sal oil",5
1515.90.20,1515,"Fixed vegetable oils , namely the following: Neem seed oil, karanj oil, silk cotton seed oil, khakhon oil, watermelon oil, kusum oil, rubberseed oil, dhup oil, undi oil, maroti oil,
pisa oil, nahar oil",5
1515.90.30,1515,"Fixed vegetable oils , namely the following: Cardomom oil, chillies/capsicum oil, turmeric oil, ajwain seed oil, niger seed oil, garlic oil",5
1515.90.40,1515,"Fixed vegetable oils of ediblegrade namely: Mango kernal oil, kahua oil, rice  bran oil",5
1515.90.91,1515,Other edible oils,5
1515.90.99,1515,Other vegetable oils,5
1516.00.00,1516,"Vegetable fats and oils and their fractions partly or wholly hydrogenated, interesterified or elaidinised, whether or not refined, but not
further prepared.",5
1516.00.00,1516,"Animal fats and oils and their fractions partly or wholly hydrogenated, interesterified or elaidinised, whether or not refined, but not
further prepared.",12
1516.10.00,1516,"Animal fats and oils and their fractions (hydrogenated, interesterified)",12
1516.20.00,1516,Vegetable fats and oils and their fraction,5
1516.20.11,1516,Cottonseed oil (Edible oil),5
1516.20.19,1516,Cottonseed oil (Vegetable oil),5
1516.20.21,1516,Groundnut oil(Edible oil),5
1516.20.29,1516,Groundnut oil (Vegetable oil),5
1516.20.31,1516,Castor oil (Edible oil),5
1516.20.39,1516,Castor oil (Vegetable oil),5
1516.20.91,1516,Other including vanaspati (Edible oil),5
1516.20.99,1516,Other including vanaspati (Vegetable oil),5
1517.00.00,1517,"Margarine, Linoxyn [solidified linseed oil]; edible mixtures or preparations of animal or vegitable fats or oils or of fractions of different fats or oils of the chapter, other than edible fats or oils or their fractions of heading 1516",18
1517.10.00,1517,Margarine (excluding liquid margarine),18
1517.10.10,1517,"Margarine (excluding liquid margarine), of animal origin",18
1517.10.21,1517,"Margarine (excluding liquid margarine), of vegetable origin, edible grade",18
1517.10.21,1517,"Margarine (excluding liquid margarine), of vegetable origin, Linoxyn",18
1517.90.10,1517,Sal fat (processed or refined),18
1517.90.20,1517,Peanut butter,18
1517.90.30,1517,Imitation lard of animal origin,18
1517.90.40,1517,Imitation lard of Vegetable origin,18
1517.90.00,1517,Other edible mixtures or preparations of animal or vegetable fats or oils or of fractions,18
1518.00.00,1518,"Vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or otherwise chemically modified, excluding those of heading 1516",5
1518.00.00,1518,"Animal fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or otherwise chemically modified, excluding those of heading 1516; inedible mixtures or preparations fo Animal or vegetable fats or o",12
1518.00.11,1518,Linseed oil (Edible oil),5
1518.00.19,1518,Linseed oil (Vegetable oil),5
1518.00.21,1518,Castor oil (Edible oil),5
1518.00.29,1518,Castor oil(Vegetable oil),5
1518.00.31,1518,Other vegetable oil edible grade,5
1518.00.39,1518,Other vegetable oil,5
1518.00.40,1518,"Animal or vegetable fats boiled, oxidised, dehydrated etc.",12
1519.00.00,1519,XXXXX,0
1520.00.00,1520,"Glycerol, crude; glycerol water and glycerol lyes",18
1521.00.00,1521,"Vegetable waxes  (other than triglycerides), Beeswax, othe insect waxes and spermaceti, whether or not refined or coloured",18
1521.10.00,1521,Vegetable waxes,18
1521.90.00,1521,"Beeswax, other insect waxes, spermaceti",18
1521.90.10,1521,Bee Wax,18
1521.90.20,1521,Shellac wax,18
1522.00.00,1522,"Degras, residues from the treatment of fatty substances or animal or vegetable waxes",18
1522.00.10,1522,Degras,18
1522.00.20,1522,Soap stocks,18
1522.00.90,1522,"Beeswax, other insect waxes, spermaceti: Other",18
1601.00.00,1601,"Sausages and similar products, of meat, meat offal or blood; food preparations based on
these products.",12
1602.00.00,1602,"Other prepared or preserved meat, meat offal or blood",12
1602.10.00,1602,"Homogenised preparations (of meat, offal meat or blood)",12
1602.20.00,1602,"Homogenised preparations (of meat, offal meat or blood) - of liver of any animal",12
1602.31.00,1602,Homogenised preparations: of polultry of heading 0105: of turkeys,12
1602.32.00,1602,"Homogenised preparations: of polultry of
heading 0105: of fowls of species Gallus domesticus",12
1602.39.00,1602,"Prepared or preserved meat, blood of poultry (excluding turkeys)",12
1602.41.00,1602,Hams and cuts of swine (prepared or preserved),12
1602.42.00,1602,Shoulders and cuts of swine (prepared or preserved),12
1602.49.00,1602,"Prepared or preserved other meat, blood of swine (including mixtures)160250 meat, offal meat, blood of bovine animals (prepared or
preserved)",12
1602.90.00,1602,"Meat, offal, blood of other animals (prepared or preserved)",12
1603.00.00,1603,"Extracts and juices of meat, fish or crustaceans, molluscs  or other aquatic
invertebrates.",12
1604.00.00,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,12
1604.11.00,1604,Salmon (prepared or preserved),12
1604.12.00,1604,Herrings (prepared or preserved),12
1604.13.00,1604,"Sardines, sardinella, brisling, sprats (prepared or preserved)",12
1604.14.00,1604,"Tunas, skipjack and bonito (sarda spp.) (prepared or preserved)",12
1604.15.00,1604,Mackerel (prepared or preserved),12
1604.16.00,1604,Anchovies (prepared or preserved),12
1604.19.00,1604,Prepared or preserved other fish,12
1604.20.00,1604,Other prepared or preserved fish (excluding whole or in pieces),12
1604.30.00,1604,"Caviar, caviar substitutes prepared from fish eggs",12
1605.00.00,1605,"Crustaceans, molluscs and other auatic invertebrates preapred or preserved",12
1605.10.00,1605,Crab (preserved or prepared),12
1605.20.00,1605,Shrimps and prawns (prepared or preserved),12
1605.30.00,1605,Lobster (prepared or preserved,12
1605.40.00,1605,Other crustaceans (prepared or preserved),12
1605.90.00,1605,"Prepared or preserved molluscs, other aquatic invertebrates",12
1701.00.00,1701,Cane jaggery (gur),0
1701.00.00,1701,"Beet sugar, cane suggar, khandsari sugar",5
1701.00.00,1701,"Refined sugar containing added flavouring or colouring matter, sugar cubes",18
1701.11.00,1701,Cane sugar (raw sugar not added flavouring or coloring matter),5
1701.11.10,1701,"Gur, jagerry and edible variety of rub gur",0
1701.11.20,1701,Khandasari Sugar,5
1701.12.00,1701,Beet sugar (raw sugar not added flavouring or coloring matter),5
1701.91.00,1701,"Cane or beet sugar, chemically pure sucrose(added flavouring or coloring matter)",18
1701.99.00,1701,"Other cane or beet sugar, chemically pure sucrose",5
1701.99.10,1701,Sugar Cubes,18
1702.00.00,1702,Pallmyra sugar,5
1702.00.00,1702,"All goods falling under 1702 [Lactose, maple syrup, glucose, dextrose, fructose, invert sugar, artificial honey etc.,] other than
palmyra sugar",18
1702.10.00,1702,"Lactose, lactose syrup",18
1702.20.00,1702,"Maple sugar, maple syrup",18
1702.30.00,1702,"Glucose, glucose syrup (fructose content in dry state less than 20%)",18
1702.30.10,1702,"Glucose, liquid",18
1702.30.20,1702,"Glucose, solid",18
1702.30.31,1702,"Dextrose not contining fructose or containing in the dry state atleast  20% but less than 50% by wight of fructose, excluding invert sugar - Dextrose in solid form",18
1702.30.31,1702,Dextrose not contining fructose or containing in the dry state less than 20% by wight of fructose - Dextrose in solid form,18
1702.30.39,1702,"Dextrose not contining fructose or containing
in the dry state less than 20% by wight of fructose - other",18
1702.30.39,1702,"Dextrose not contining fructose or containing
in the dry state less than 20% by wight of fructose - other",18
1702.40.00,1702,"Glucose, glucose syrup (fructose content in dry state 20-50%)",18
1702.40.10,1702,"Glucose, liquid",18
1702.40.20,1702,"Glucose, solid",18
1702.50.00,1702,Chemically pure fructose,18
1702.60.00,1702,"Fructose, fructose syrup(fructose content in
dry state more than 50%)170290 other sugars (including invert sugar)",18
1702.90.10,1702,Palmyra Sugar,5
1703.00.00,1703,Molasses resulting from the extraction or refining of sugar,28
1703.10.00,1703,Cane molasses,28
1703.90.00,1703,Molasses (excluding cane molasses),28
1703.90.10,1703,Molasses (edible),28
1704.00.00,1704,Sugar confection (including white chocolate and bubble/chewing gum).,18
1704.00.00,1704,Chewing gum/bubble gum and white chocolate not containing cocoa,28
1704.10.00,1704,Chewing gum,28
1704.90.00,1704,"Other sugar confectionery, not containing cocoa: white chocolate",28
1704.90.10,1704,Jelly confectionary,18
1704.90.20,1704,"Boiled sweets, whether or not filled",18
1704.90.30,1704,"Toffees, caramels and similar sweets",18
1801.00.00,1801,"Cocoa beans, whole or broken, raw or roasted",5
